sorting routine,pattern,n,time(CPU clock ticks),
heap sort,sorted,100000,17.1,488.57%
heap sort,sorted,1000000,211.4,374.82%
heap sort,sorted,10000000,2700.5,309.97%
heap sort,random,100000,21.7,110.15%
heap sort,random,1000000,418.1,181.23%
heap sort,random,10000000,8701.6,325.84%
heap sort,reversed,100000,18.1,218.07%
heap sort,reversed,1000000,205.4,205.81%
heap sort,reversed,10000000,3214.1,267.75%
heap sort,mostly sorted,100000,37.3,466.25%
heap sort,mostly sorted,1000000,308.8,350.91%
heap sort,mostly sorted,10000000,3798.1,347.56%
heap sort,mostly reversed,100000,23.4,281.93%
heap sort,mostly reversed,1000000,296.7,328.21%
heap sort,mostly reversed,10000000,3663.3,334.43%
heap sort,killer,100000,20.8,0.89%
heap sort,killer,1000000,534,0.60%
tim sort,sorted,100000,2.9,82.86%
tim sort,sorted,1000000,72.1,127.84%
tim sort,sorted,10000000,1127.7,129.44%
tim sort,random,100000,44.7,226.90%
tim sort,random,1000000,520.2,225.49%
tim sort,random,10000000,5575.9,208.80%
tim sort,reversed,100000,7.4,89.16%
tim sort,reversed,1000000,152.9,153.21%
tim sort,reversed,10000000,2906.8,242.15%
tim sort,mostly sorted,100000,7,87.50%
tim sort,mostly sorted,1000000,108.9,123.75%
tim sort,mostly sorted,10000000,1641,150.16%
tim sort,mostly reversed,100000,9.8,118.07%
tim sort,mostly reversed,1000000,174.9,193.47%
tim sort,mostly reversed,10000000,2159.4,197.13%
tim sort,killer,100000,49.4,2.12%
tim sort,killer,1000000,562.8,0.63%
dual pivot quick sort,sorted,100000,6,171.43%
dual pivot quick sort,sorted,1000000,72,127.66%
dual pivot quick sort,sorted,10000000,925.6,106.24%
dual pivot quick sort,random,100000,25.1,127.41%
dual pivot quick sort,random,1000000,317.2,137.49%
dual pivot quick sort,random,10000000,3534.2,132.34%
dual pivot quick sort,reversed,100000,7.7,92.77%
dual pivot quick sort,reversed,1000000,95,95.19%
dual pivot quick sort,reversed,10000000,1084.8,90.37%
dual pivot quick sort,mostly sorted,100000,13.8,172.50%
dual pivot quick sort,mostly sorted,1000000,146,165.91%
dual pivot quick sort,mostly sorted,10000000,1686.3,154.31%
dual pivot quick sort,mostly reversed,100000,14.6,175.90%
dual pivot quick sort,mostly reversed,1000000,145.8,161.28%
dual pivot quick sort,mostly reversed,10000000,1665.8,152.07%
dual pivot quick sort,killer,100000,48.8,2.09%
dual pivot quick sort,killer,1000000,510.3,0.57%
pg intro sort,sorted,100000,2.8,80.00%
pg intro sort,sorted,1000000,48.8,86.52%
pg intro sort,sorted,10000000,732,84.02%
pg intro sort,random,100000,17,86.29%
pg intro sort,random,1000000,200,86.69%
pg intro sort,random,10000000,2497,93.50%
pg intro sort,reversed,100000,7.2,86.75%
pg intro sort,reversed,1000000,88.6,88.78%
pg intro sort,reversed,10000000,1073.4,89.42%
pg intro sort,mostly sorted,100000,7.4,92.50%
pg intro sort,mostly sorted,1000000,82.5,93.75%
pg intro sort,mostly sorted,10000000,988.7,90.47%
pg intro sort,mostly reversed,100000,8,96.39%
pg intro sort,mostly reversed,1000000,85,94.03%
pg intro sort,mostly reversed,10000000,1003.3,91.59%
pg intro sort,killer,100000,35.3,1.51%
pg intro sort,killer,1000000,521.9,0.59%
pg intro sort - 1 preordered check,sorted,100000,3.5,100.00%
pg intro sort - 1 preordered check,sorted,1000000,60.2,106.74%
pg intro sort - 1 preordered check,sorted,10000000,788.3,90.48%
pg intro sort - 1 preordered check,random,100000,18.5,93.91%
pg intro sort - 1 preordered check,random,1000000,211.8,91.81%
pg intro sort - 1 preordered check,random,10000000,2389.4,89.47%
pg intro sort - 1 preordered check,reversed,100000,7.5,90.36%
pg intro sort - 1 preordered check,reversed,1000000,93.4,93.59%
pg intro sort - 1 preordered check,reversed,10000000,1115.1,92.89%
pg intro sort - 1 preordered check,mostly sorted,100000,8,100.00%
pg intro sort - 1 preordered check,mostly sorted,1000000,86.5,98.30%
pg intro sort - 1 preordered check,mostly sorted,10000000,1064.1,97.37%
pg intro sort - 1 preordered check,mostly reversed,100000,8.8,106.02%
pg intro sort - 1 preordered check,mostly reversed,1000000,92.7,102.54%
pg intro sort - 1 preordered check,mostly reversed,10000000,1029.6,93.99%
pg intro sort - 1 preordered check,killer,100000,32.4,1.39%
pg intro sort - 1 preordered check,killer,1000000,510.5,0.57%
rand pg_qsort,sorted,100000,4.2,120.00%
rand pg_qsort,sorted,1000000,74.4,131.91%
rand pg_qsort,sorted,10000000,1163.4,133.54%
rand pg_qsort,random,100000,19.6,99.49%
rand pg_qsort,random,1000000,224.2,97.18%
rand pg_qsort,random,10000000,2680.9,100.39%
rand pg_qsort,reversed,100000,8,96.39%
rand pg_qsort,reversed,1000000,102.7,102.91%
rand pg_qsort,reversed,10000000,1327.1,110.55%
rand pg_qsort,mostly sorted,100000,10.4,130.00%
rand pg_qsort,mostly sorted,1000000,107.2,121.82%
rand pg_qsort,mostly sorted,10000000,1381.2,126.39%
rand pg_qsort,mostly reversed,100000,10.7,128.92%
rand pg_qsort,mostly reversed,1000000,111.7,123.56%
rand pg_qsort,mostly reversed,10000000,1384.1,126.36%
rand pg_qsort,killer,100000,20.2,0.87%
rand pg_qsort,killer,1000000,247.8,0.28%
pg_qsort,sorted,100000,3.5,100.00%
pg_qsort,sorted,1000000,56.4,100.00%
pg_qsort,sorted,10000000,871.2,100.00%
pg_qsort,random,100000,19.7,100.00%
pg_qsort,random,1000000,230.7,100.00%
pg_qsort,random,10000000,2670.5,100.00%
pg_qsort,reversed,100000,8.3,100.00%
pg_qsort,reversed,1000000,99.8,100.00%
pg_qsort,reversed,10000000,1200.4,100.00%
pg_qsort,mostly sorted,100000,8,100.00%
pg_qsort,mostly sorted,1000000,88,100.00%
pg_qsort,mostly sorted,10000000,1092.8,100.00%
pg_qsort,mostly reversed,100000,8.3,100.00%
pg_qsort,mostly reversed,1000000,90.4,100.00%
pg_qsort,mostly reversed,10000000,1095.4,100.00%
pg_qsort,killer,100000,2332.5,100.00%
pg_qsort,killer,1000000,88927.9,100.00%
